,estimator,mean_score,max_score,std_score,base_estimator__criterion,base_estimator__max_depth,base_estimator__min_samples_leaf,base_estimator__splitter,max_depth,min_samples_leaf,min_score,n_estimators,n_neighbors
114,AdaBoostClassifier,0.4411958295635096,0.4662576687116564,0.022520489020209,gini,1,3,best,,,0.4059304703476483,5,
120,AdaBoostClassifier,0.4510113567574832,0.4662576687116564,0.018619160259848236,gini,1,3,random,,,0.41590214067278286,1,
130,AdaBoostClassifier,0.4411958295635096,0.4662576687116564,0.022520489020209,gini,1,4,best,,,0.4059304703476483,5,
82,AdaBoostClassifier,0.4411958295635096,0.4662576687116564,0.022520489020209,gini,1,1,best,,,0.4059304703476483,5,
174,AdaBoostClassifier,0.3953007071761745,0.46530612244897956,0.06690669289306203,gini,2,1,random,,,0.26809378185524974,13,
148,AdaBoostClassifier,0.4259046843066977,0.4652351738241309,0.029016545341796603,gini,1,5,best,,,0.3843017329255861,9,
103,AdaBoostClassifier,0.42468144271648356,0.4652351738241309,0.030817626520138024,gini,1,2,best,,,0.3781855249745158,15,
102,AdaBoostClassifier,0.4271279258969118,0.4652351738241309,0.02731600744462112,gini,1,2,best,,,0.3904179408766565,13,
116,AdaBoostClassifier,0.4259046843066977,0.4652351738241309,0.029016545341796603,gini,1,3,best,,,0.3843017329255861,9,
117,AdaBoostClassifier,0.4271279258969118,0.4652351738241309,0.02731600744462112,gini,1,3,best,,,0.3904179408766565,11,
118,AdaBoostClassifier,0.4271279258969118,0.4652351738241309,0.02731600744462112,gini,1,3,best,,,0.3904179408766565,13,
119,AdaBoostClassifier,0.42468144271648356,0.4652351738241309,0.030817626520138024,gini,1,3,best,,,0.3781855249745158,15,
131,AdaBoostClassifier,0.43161314506103,0.4652351738241309,0.0223008602941816,gini,1,4,best,,,0.4059304703476483,7,
132,AdaBoostClassifier,0.4259046843066977,0.4652351738241309,0.029016545341796603,gini,1,4,best,,,0.3843017329255861,9,
133,AdaBoostClassifier,0.4271279258969118,0.4652351738241309,0.02731600744462112,gini,1,4,best,,,0.3904179408766565,11,
134,AdaBoostClassifier,0.4271279258969118,0.4652351738241309,0.02731600744462112,gini,1,4,best,,,0.3904179408766565,13,
135,AdaBoostClassifier,0.42468144271648356,0.4652351738241309,0.030817626520138024,gini,1,4,best,,,0.3781855249745158,15,
101,AdaBoostClassifier,0.4271279258969118,0.4652351738241309,0.02731600744462112,gini,1,2,best,,,0.3904179408766565,11,
147,AdaBoostClassifier,0.43161314506103,0.4652351738241309,0.0223008602941816,gini,1,5,best,,,0.4059304703476483,7,
149,AdaBoostClassifier,0.4271279258969118,0.4652351738241309,0.02731600744462112,gini,1,5,best,,,0.3904179408766565,11,
100,AdaBoostClassifier,0.4259046843066977,0.4652351738241309,0.029016545341796603,gini,1,2,best,,,0.3843017329255861,9,
99,AdaBoostClassifier,0.43161314506103,0.4652351738241309,0.0223008602941816,gini,1,2,best,,,0.4059304703476483,7,
150,AdaBoostClassifier,0.4271279258969118,0.4652351738241309,0.02731600744462112,gini,1,5,best,,,0.3904179408766565,13,
151,AdaBoostClassifier,0.42468144271648356,0.4652351738241309,0.030817626520138024,gini,1,5,best,,,0.3781855249745158,15,
87,AdaBoostClassifier,0.42468144271648356,0.4652351738241309,0.030817626520138024,gini,1,1,best,,,0.3781855249745158,15,
86,AdaBoostClassifier,0.4271279258969118,0.4652351738241309,0.02731600744462112,gini,1,1,best,,,0.3904179408766565,13,
85,AdaBoostClassifier,0.4271279258969118,0.4652351738241309,0.02731600744462112,gini,1,1,best,,,0.3904179408766565,11,
84,AdaBoostClassifier,0.4259046843066977,0.4652351738241309,0.029016545341796603,gini,1,1,best,,,0.3843017329255861,9,
83,AdaBoostClassifier,0.43161314506103,0.4652351738241309,0.0223008602941816,gini,1,1,best,,,0.4059304703476483,7,
115,AdaBoostClassifier,0.43161314506103,0.4652351738241309,0.0223008602941816,gini,1,3,best,,,0.4059304703476483,7,
40,AdaBoostClassifier,0.4220242003857696,0.4642857142857143,0.026366779759601132,gini,,3,random,,,0.3853211009174312,1,
106,AdaBoostClassifier,0.43815210292668505,0.4642857142857143,0.02096337686891555,gini,1,2,random,,,0.4016309887869521,5,
293,AdaBoostClassifier,0.43323621450606475,0.4617737003058104,0.023362838360810052,gini,3,4,best,,,0.40061162079510704,11,
72,AdaBoostClassifier,0.44122272724778167,0.4611451942740286,0.016154175113090603,gini,,5,random,,,0.4240570846075433,1,
324,DecisionTreeClassifier,0.43020166435084944,0.4611451942740286,0.024043585907640438,,,,,,5,0.3985728848114169,,
221,AdaBoostClassifier,0.42162979673774165,0.4611451942740286,0.036179326516577175,gini,2,4,random,,,0.363914373088685,11,
239,AdaBoostClassifier,0.41143257257875854,0.4602040816326531,0.044716889512789036,gini,2,5,random,,,0.3476044852191641,15,
254,AdaBoostClassifier,0.3969636234824505,0.4601226993865031,0.07296648601614523,gini,3,1,random,,,0.2599388379204893,13,
64,AdaBoostClassifier,0.4297957920152357,0.4601226993865031,0.0260003406272458,gini,,5,best,,,0.3985728848114169,1,
