,estimator,mean_score,max_score,std_score,alpha,hidden_layer_sizes,max_iter,random_state,solver,min_score
135,MLPClassifier,0.3986990429274278,0.4260958205912334,0.0269626405506183,0.001,13,5,1,lbfgs,0.35480572597137017
385,MLPClassifier,0.3986990429274278,0.4260958205912334,0.0269626405506183,1e-08,13,5,1,lbfgs,0.35480572597137017
81,MLPClassifier,0.3986990429274278,0.4260958205912334,0.0269626405506183,0.01,13,1,1,lbfgs,0.35480572597137017
185,MLPClassifier,0.3986990429274278,0.4260958205912334,0.0269626405506183,0.0001,13,5,1,lbfgs,0.35480572597137017
139,MLPClassifier,0.3986990429274278,0.4260958205912334,0.0269626405506183,0.001,13,9,1,lbfgs,0.35480572597137017
387,MLPClassifier,0.3986990429274278,0.4260958205912334,0.0269626405506183,1e-08,13,7,1,lbfgs,0.35480572597137017
381,MLPClassifier,0.3986990429274278,0.4260958205912334,0.0269626405506183,1e-08,13,1,1,lbfgs,0.35480572597137017
187,MLPClassifier,0.3986990429274278,0.4260958205912334,0.0269626405506183,0.0001,13,7,1,lbfgs,0.35480572597137017
89,MLPClassifier,0.3986990429274278,0.4260958205912334,0.0269626405506183,0.01,13,9,1,lbfgs,0.35480572597137017
383,MLPClassifier,0.3986990429274278,0.4260958205912334,0.0269626405506183,1e-08,13,3,1,lbfgs,0.35480572597137017
379,MLPClassifier,0.3620036956078092,0.40286298568507156,0.030201926146326,1e-08,12,9,1,lbfgs,0.31702344546381245
79,MLPClassifier,0.3620036956078092,0.40286298568507156,0.030201926146326,0.01,12,9,1,lbfgs,0.31702344546381245
179,MLPClassifier,0.3620036956078092,0.40286298568507156,0.030201926146326,0.0001,12,9,1,lbfgs,0.31702344546381245
329,MLPClassifier,0.3620036956078092,0.40286298568507156,0.030201926146326,1e-07,12,9,1,lbfgs,0.31702344546381245
429,MLPClassifier,0.3620036956078092,0.40286298568507156,0.030201926146326,1e-09,12,9,1,lbfgs,0.31702344546381245
29,MLPClassifier,0.3620036956078092,0.40286298568507156,0.030201926146326,0.1,12,9,1,lbfgs,0.31702344546381245
129,MLPClassifier,0.3620036956078092,0.40286298568507156,0.030201926146326,0.001,12,9,1,lbfgs,0.31702344546381245
229,MLPClassifier,0.3620036956078092,0.40286298568507156,0.030201926146326,1e-05,12,9,1,lbfgs,0.31702344546381245
279,MLPClassifier,0.3620036956078092,0.40286298568507156,0.030201926146326,1e-06,12,9,1,lbfgs,0.31702344546381245
367,MLPClassifier,0.3470819388335812,0.3946830265848671,0.033043634305481066,1e-08,11,7,1,lbfgs,0.3006134969325153
265,MLPClassifier,0.3470819388335812,0.3946830265848671,0.033043634305481066,1e-06,11,5,1,lbfgs,0.3006134969325153
167,MLPClassifier,0.3470819388335812,0.3946830265848671,0.033043634305481066,0.0001,11,7,1,lbfgs,0.3006134969325153
267,MLPClassifier,0.3470819388335812,0.3946830265848671,0.033043634305481066,1e-06,11,7,1,lbfgs,0.3006134969325153
215,MLPClassifier,0.3470819388335812,0.3946830265848671,0.033043634305481066,1e-05,11,5,1,lbfgs,0.3006134969325153
17,MLPClassifier,0.3470819388335812,0.3946830265848671,0.033043634305481066,0.1,11,7,1,lbfgs,0.3006134969325153
315,MLPClassifier,0.3470819388335812,0.3946830265848671,0.033043634305481066,1e-07,11,5,1,lbfgs,0.3006134969325153
15,MLPClassifier,0.3470819388335812,0.3946830265848671,0.033043634305481066,0.1,11,5,1,lbfgs,0.3006134969325153
165,MLPClassifier,0.3470819388335812,0.3946830265848671,0.033043634305481066,0.0001,11,5,1,lbfgs,0.3006134969325153
65,MLPClassifier,0.3470819388335812,0.3946830265848671,0.033043634305481066,0.01,11,5,1,lbfgs,0.3006134969325153
67,MLPClassifier,0.3470819388335812,0.3946830265848671,0.033043634305481066,0.01,11,7,1,lbfgs,0.3006134969325153
115,MLPClassifier,0.3470819388335812,0.3946830265848671,0.033043634305481066,0.001,11,5,1,lbfgs,0.3006134969325153
417,MLPClassifier,0.3470819388335812,0.3946830265848671,0.033043634305481066,1e-09,11,7,1,lbfgs,0.3006134969325153
415,MLPClassifier,0.3470819388335812,0.3946830265848671,0.033043634305481066,1e-09,11,5,1,lbfgs,0.3006134969325153
217,MLPClassifier,0.3470819388335812,0.3946830265848671,0.033043634305481066,1e-05,11,7,1,lbfgs,0.3006134969325153
117,MLPClassifier,0.3470819388335812,0.3946830265848671,0.033043634305481066,0.001,11,7,1,lbfgs,0.3006134969325153
317,MLPClassifier,0.3470819388335812,0.3946830265848671,0.033043634305481066,1e-07,11,7,1,lbfgs,0.3006134969325153
365,MLPClassifier,0.3470819388335812,0.3946830265848671,0.033043634305481066,1e-08,11,5,1,lbfgs,0.3006134969325153
